 NS  KS  AS  CS  KI  AI  CI 
 0.1000E+00010  0.1000E+00009  0.1000E+00008  0.1000E+00004  0.1000E+00009  0.1000E+00008  0.1000E+00004
 0.3482E+00009  0.1191E+00009  0.9110E+00008  0.2297E+00007  0.9411E+00008  0.9254E+00007  0.9139E+00003
 0.8446E+00007  0.1091E+00009  0.8474E+00008  0.2168E+00007  0.7471E+00008  0.8563E+00007  0.8351E+00003
 0.4102E+00006  0.1003E+00009  0.7883E+00008  0.2045E+00007  0.6161E+00008  0.7924E+00007  0.7632E+00003
 0.3238E+00005  0.9239E+00008  0.7333E+00008  0.1930E+00007  0.5188E+00008  0.7333E+00007  0.6975E+00003
 0.3682E+00004  0.8519E+00008  0.6822E+00008  0.1821E+00007  0.4433E+00008  0.6786E+00007  0.6374E+00003
 0.5578E+00003  0.7862E+00008  0.6346E+00008  0.1718E+00007  0.3832E+00008  0.6279E+00007  0.5825E+00003
 0.1064E+00003  0.7261E+00008  0.5903E+00008  0.1622E+00007  0.3343E+00008  0.5811E+00007  0.5323E+00003
 0.2456E+00002  0.6709E+00008  0.5491E+00008  0.1530E+00007  0.2937E+00008  0.5377E+00007  0.4865E+00003
 0.6648E+00001  0.6201E+00008  0.5109E+00008  0.1444E+00007  0.2597E+00008  0.4976E+00007  0.4445E+00003
 0.2057E+00001  0.5734E+00008  0.4753E+00008  0.1363E+00007  0.2310E+00008  0.4604E+00007  0.4063E+00003
 0.7122E+00000  0.5320E+00008  0.4422E+00008  0.1286E+00007  0.2064E+00008  0.4261E+00007  0.3713E+00003
 0.2724E+00000  0.4938E+00008  0.4114E+00008  0.1213E+00007  0.1853E+00008  0.3943E+00007  0.3393E+00003
 0.1136E+00000  0.4585E+00008  0.3827E+00008  0.1145E+00007  0.1671E+00008  0.3649E+00007  0.3101E+00003
 0.5111E-00001  0.4259E+00008  0.3561E+00008  0.1081E+00007  0.1512E+00008  0.3376E+00007  0.2833E+00003
 0.2458E-00001  0.3958E+00008  0.3313E+00008  0.1020E+00007  0.1373E+00008  0.3124E+00007  0.2589E+00003
 0.1253E-00001  0.3679E+00008  0.3083E+00008  0.9624E+00006  0.1250E+00008  0.2891E+00007  0.2366E+00003
 0.6731E-00002  0.3420E+00008  0.2869E+00008  0.9082E+00006  0.1142E+00008  0.2675E+00007  0.2162E+00003
 0.3786E-00002  0.3181E+00008  0.2670E+00008  0.8571E+00006  0.1046E+00008  0.2476E+00007  0.1976E+00003
 0.2217E-00002  0.2959E+00008  0.2485E+00008  0.8089E+00006  0.9594E+00007  0.2291E+00007  0.1806E+00003
 0.1348E-00002  0.2753E+00008  0.2313E+00008  0.7634E+00006  0.8823E+00007  0.2120E+00007  0.1650E+00003
 0.8477E-00003  0.2562E+00008  0.2152E+00008  0.7205E+00006  0.8128E+00007  0.1962E+00007  0.1508E+00003
 0.5497E-00003  0.2385E+00008  0.2003E+00008  0.6800E+00006  0.7502E+00007  0.1815E+00007  0.1378E+00003
 0.3665E-00003  0.2220E+00008  0.1865E+00008  0.6417E+00006  0.6934E+00007  0.1680E+00007  0.1260E+00003
 0.2506E-00003  0.2067E+00008  0.1736E+00008  0.6057E+00006  0.6419E+00007  0.1555E+00007  0.1151E+00003
 0.1753E-00003  0.1925E+00008  0.1616E+00008  0.5716E+00006  0.5950E+00007  0.1438E+00007  0.1052E+00003
 0.1252E-00003  0.1792E+00008  0.1504E+00008  0.5395E+00006  0.5523E+00007  0.1331E+00007  0.9612E+00002
 0.9108E-00004  0.1669E+00008  0.1400E+00008  0.5092E+00006  0.5132E+00007  0.1232E+00007  0.8784E+00002
 0.8465E-00004  0.1555E+00008  0.1304E+00008  0.4806E+00006  0.4773E+00007  0.1140E+00007  0.8028E+00002
 0.7868E-00004  0.1449E+00008  0.1214E+00008  0.4536E+00006  0.4445E+00007  0.1055E+00007  0.7336E+00002
 0.7313E-00004  0.1350E+00008  0.1130E+00008  0.4281E+00006  0.4142E+00007  0.9760E+00006  0.6704E+00002
 0.6797E-00004  0.1258E+00008  0.1053E+00008  0.4041E+00006  0.3864E+00007  0.9032E+00006  0.6126E+00002
 0.6317E-00004  0.1172E+00008  0.9802E+00007  0.3814E+00006  0.3606E+00007  0.8358E+00006  0.5599E+00002
 0.5871E-00004  0.1092E+00008  0.9128E+00007  0.3600E+00006  0.3368E+00007  0.7734E+00006  0.5116E+00002
 0.5457E-00004  0.1018E+00008  0.8501E+00007  0.3398E+00006  0.3148E+00007  0.7157E+00006  0.4675E+00002
 0.5072E-00004  0.9485E+00007  0.7917E+00007  0.3207E+00006  0.2945E+00007  0.6623E+00006  0.4273E+00002
 0.4714E-00004  0.8841E+00007  0.7374E+00007  0.3027E+00006  0.2756E+00007  0.6128E+00006  0.3905E+00002
 0.4381E-00004  0.8240E+00007  0.6869E+00007  0.2857E+00006  0.2580E+00007  0.5671E+00006  0.3568E+00002
 0.4072E-00004  0.7682E+00007  0.6398E+00007  0.2697E+00006  0.2417E+00007  0.5248E+00006  0.3261E+00002
 0.3785E-00004  0.7161E+00007  0.5960E+00007  0.2546E+00006  0.2265E+00007  0.4856E+00006  0.2980E+00002
 0.3518E-00004  0.6676E+00007  0.5552E+00007  0.2403E+00006  0.2124E+00007  0.4493E+00006  0.2723E+00002
 0.3269E-00004  0.6224E+00007  0.5173E+00007  0.2269E+00006  0.1992E+00007  0.4158E+00006  0.2488E+00002
 0.3039E-00004  0.5803E+00007  0.4819E+00007  0.2141E+00006  0.1869E+00007  0.3848E+00006  0.2274E+00002
 0.2824E-00004  0.5411E+00007  0.4490E+00007  0.2021E+00006  0.1754E+00007  0.3560E+00006  0.2078E+00002
 0.2625E-00004  0.5045E+00007  0.4184E+00007  0.1908E+00006  0.1647E+00007  0.3295E+00006  0.1899E+00002
 0.2440E-00004  0.4704E+00007  0.3899E+00007  0.1801E+00006  0.1547E+00007  0.3049E+00006  0.1735E+00002
 0.2267E-00004  0.4387E+00007  0.3633E+00007  0.1700E+00006  0.1453E+00007  0.2821E+00006  0.1586E+00002
 0.2107E-00004  0.4091E+00007  0.3385E+00007  0.1605E+00006  0.1365E+00007  0.2610E+00006  0.1449E+00002
 0.1959E-00004  0.3815E+00007  0.3155E+00007  0.1515E+00006  0.1283E+00007  0.2416E+00006  0.1324E+00002
 0.1820E-00004  0.3558E+00007  0.2940E+00007  0.1430E+00006  0.1206E+00007  0.2235E+00006  0.1210E+00002
 0.1692E-00004  0.3318E+00007  0.2740E+00007  0.1350E+00006  0.1134E+00007  0.2068E+00006  0.1106E+00002
 0.1573E-00004  0.3094E+00007  0.2554E+00007  0.1275E+00006  0.1067E+00007  0.1914E+00006  0.1011E+00002
 0.1462E-00004  0.2886E+00007  0.2381E+00007  0.1203E+00006  0.1003E+00007  0.1771E+00006  0.9236E+00001
 0.1358E-00004  0.2692E+00007  0.2219E+00007  0.1136E+00006  0.9437E+00006  0.1639E+00006  0.8440E+00001
 0.1263E-00004  0.2511E+00007  0.2069E+00007  0.1073E+00006  0.8879E+00006  0.1517E+00006  0.7713E+00001
 0.1173E-00004  0.2342E+00007  0.1929E+00007  0.1013E+00006  0.8355E+00006  0.1403E+00006  0.7048E+00001
 0.1091E-00004  0.2184E+00007  0.1798E+00007  0.9559E+00005  0.7863E+00006  0.1299E+00006  0.6441E+00001
 0.1014E-00004  0.2038E+00007  0.1676E+00007  0.9024E+00005  0.7401E+00006  0.1202E+00006  0.5886E+00001
 0.9422E-00005  0.1901E+00007  0.1563E+00007  0.8520E+00005  0.6967E+00006  0.1112E+00006  0.5378E+00001
 0.8757E-00005  0.1773E+00007  0.1457E+00007  0.8043E+00005  0.6559E+00006  0.1029E+00006  0.4915E+00001
 0.8139E-00005  0.1654E+00007  0.1359E+00007  0.7594E+00005  0.6175E+00006  0.9520E+00005  0.4491E+00001
 0.7564E-00005  0.1543E+00007  0.1267E+00007  0.7169E+00005  0.5814E+00006  0.8810E+00005  0.4104E+00001
 0.7031E-00005  0.1439E+00007  0.1182E+00007  0.6769E+00005  0.5475E+00006  0.8152E+00005  0.3751E+00001
 0.6534E-00005  0.1343E+00007  0.1102E+00007  0.6391E+00005  0.5156E+00006  0.7543E+00005  0.3427E+00001
 0.6073E-00005  0.1253E+00007  0.1028E+00007  0.6034E+00005  0.4856E+00006  0.6980E+00005  0.3132E+00001
 0.5645E-00005  0.1169E+00007  0.9585E+00006  0.5697E+00005  0.4574E+00006  0.6459E+00005  0.2862E+00001
 0.5246E-00005  0.1090E+00007  0.8940E+00006  0.5378E+00005  0.4308E+00006  0.5976E+00005  0.2615E+00001
 0.4876E-00005  0.1017E+00007  0.8339E+00006  0.5078E+00005  0.4058E+00006  0.5530E+00005  0.2390E+00001
 0.4532E-00005  0.9490E+00006  0.7778E+00006  0.4795E+00005  0.3823E+00006  0.5117E+00005  0.2184E+00001
 0.4212E-00005  0.8854E+00006  0.7256E+00006  0.4527E+00005  0.3601E+00006  0.4735E+00005  0.1996E+00001
 0.3915E-00005  0.8261E+00006  0.6769E+00006  0.4274E+00005  0.3393E+00006  0.4381E+00005  0.1824E+00001
 0.3639E-00005  0.7708E+00006  0.6315E+00006  0.4036E+00005  0.3196E+00006  0.4054E+00005  0.1667E+00001
 0.3382E-00005  0.7192E+00006  0.5891E+00006  0.3810E+00005  0.3011E+00006  0.3752E+00005  0.1523E+00001
 0.3143E-00005  0.6710E+00006  0.5496E+00006  0.3598E+00005  0.2837E+00006  0.3471E+00005  0.1392E+00001
 0.2921E-00005  0.6261E+00006  0.5128E+00006  0.3397E+00005  0.2674E+00006  0.3212E+00005  0.1272E+00001
 0.2715E-00005  0.5842E+00006  0.4785E+00006  0.3208E+00005  0.2519E+00006  0.2972E+00005  0.1162E+00001
 0.2524E-00005  0.5452E+00006  0.4465E+00006  0.3029E+00005  0.2374E+00006  0.2750E+00005  0.1062E+00001
 0.2346E-00005  0.5087E+00006  0.4166E+00006  0.2860E+00005  0.2237E+00006  0.2545E+00005  0.9704E+00000
 0.2180E-00005  0.4747E+00006  0.3888E+00006  0.2700E+00005  0.2108E+00006  0.2355E+00005  0.8868E+00000
 0.2026E-00005  0.4430E+00006  0.3628E+00006  0.2550E+00005  0.1986E+00006  0.2179E+00005  0.8104E+00000
 0.1883E-00005  0.4134E+00006  0.3386E+00006  0.2408E+00005  0.1872E+00006  0.2016E+00005  0.7405E+00000
 0.1750E-00005  0.3858E+00006  0.3160E+00006  0.2273E+00005  0.1764E+00006  0.1866E+00005  0.6767E+00000
 0.1627E-00005  0.3600E+00006  0.2950E+00006  0.2147E+00005  0.1663E+00006  0.1726E+00005  0.6184E+00000
 0.1512E-00005  0.3360E+00006  0.2753E+00006  0.2027E+00005  0.1567E+00006  0.1598E+00005  0.5651E+00000
 0.1405E-00005  0.3135E+00006  0.2570E+00006  0.1914E+00005  0.1477E+00006  0.1478E+00005  0.5164E+00000
 0.1306E-00005  0.2926E+00006  0.2399E+00006  0.1808E+00005  0.1392E+00006  0.1368E+00005  0.4719E+00000
 0.1214E-00005  0.2731E+00006  0.2239E+00006  0.1707E+00005  0.1312E+00006  0.1266E+00005  0.4312E+00000
