 NS  KS  AS  CS  KI  AI  CI 
 0.5154E-00309  0.0000E+00000  0.9881E-00323  0.1482E-00322  0.5155E-00309  0.3129E+00204 -0.1139E-00282
 0.1570E-00008  0.7694E-00008  0.1028E-00006  0.3816E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1567E-00008  0.8525E-00008  0.1032E-00006  0.3822E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.8968E-00008  0.1035E-00006  0.3829E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.9266E-00008  0.1038E-00006  0.3835E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.9481E-00008  0.1042E-00006  0.3841E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1569E-00008  0.9643E-00008  0.1045E-00006  0.3848E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1569E-00008  0.9766E-00008  0.1048E-00006  0.3854E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1570E-00008  0.9863E-00008  0.1052E-00006  0.3860E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1570E-00008  0.9938E-00008  0.1055E-00006  0.3866E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1567E-00008  0.9997E-00008  0.1059E-00006  0.3873E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.1004E-00007  0.1062E-00006  0.3879E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.1012E-00007  0.1066E-00006  0.3885E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.1020E-00007  0.1069E-00006  0.3891E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1569E-00008  0.1026E-00007  0.1073E-00006  0.3898E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1569E-00008  0.1032E-00007  0.1076E-00006  0.3904E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1570E-00008  0.1038E-00007  0.1080E-00006  0.3910E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1570E-00008  0.1043E-00007  0.1083E-00006  0.3916E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1567E-00008  0.1047E-00007  0.1087E-00006  0.3923E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.1052E-00007  0.1090E-00006  0.3929E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.1056E-00007  0.1094E-00006  0.3935E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1568E-00008  0.1060E-00007  0.1097E-00006  0.3941E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1569E-00008  0.1064E-00007  0.1101E-00006  0.3948E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1569E-00008  0.1068E-00007  0.1105E-00006  0.3954E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1570E-00008  0.1071E-00007  0.1108E-00006  0.3960E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1570E-00008  0.1075E-00007  0.1112E-00006  0.3966E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.1567E-00008  0.1078E-00007  0.1115E-00006  0.3972E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1081E-00007  0.1119E-00006  0.3979E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1084E-00007  0.1123E-00006  0.3985E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1087E-00007  0.1126E-00006  0.3991E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1090E-00007  0.1130E-00006  0.3997E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1093E-00007  0.1133E-00006  0.4003E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1096E-00007  0.1137E-00006  0.4009E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1099E-00007  0.1141E-00006  0.4015E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1102E-00007  0.1144E-00006  0.4021E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1105E-00007  0.1148E-00006  0.4027E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1107E-00007  0.1151E-00006  0.4034E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1110E-00007  0.1155E-00006  0.4040E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1113E-00007  0.1159E-00006  0.4046E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1115E-00007  0.1162E-00006  0.4052E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1118E-00007  0.1166E-00006  0.4058E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1121E-00007  0.1170E-00006  0.4064E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1123E-00007  0.1173E-00006  0.4070E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1126E-00007  0.1177E-00006  0.4076E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1129E-00007  0.1181E-00006  0.4082E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1131E-00007  0.1184E-00006  0.4088E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1134E-00007  0.1188E-00006  0.4094E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1137E-00007  0.1192E-00006  0.4100E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1139E-00007  0.1195E-00006  0.4106E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1142E-00007  0.1199E-00006  0.4111E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1145E-00007  0.1203E-00006  0.4117E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1147E-00007  0.1206E-00006  0.4123E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1150E-00007  0.1210E-00006  0.4129E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1153E-00007  0.1214E-00006  0.4135E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1155E-00007  0.1218E-00006  0.4141E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1158E-00007  0.1221E-00006  0.4147E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1161E-00007  0.1225E-00006  0.4152E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1163E-00007  0.1229E-00006  0.4158E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
 0.3596E-00009  0.1166E-00007  0.1232E-00006  0.4164E-00006  0.5661E-00002  0.6218E-00002  0.4176E-00002
